Bronze,Silver,Gold,ID,Sex,Age,Height,Weight,Year,Medal,BMI,Host,Population,GDP_Per_Capita,Event,Name,Team,Sport
0.825,0.125,0.05,1561,1,20.0,180.0,62.0,2016,0,19.1358024691358,0,36286425.0,42348.94546059788,Athletics Men's 4 x 100 metres Relay,Mobolade Abimbola Ajomale,Canada,Athletics
0.1,0.2,0.7,76682,1,26.0,188.0,84.0,2016,2,23.766410140334997,0,2881355.0,4883.860270104311,Athletics Men's 4 x 400 metres Relay,Peter Matthews,Jamaica,Athletics
0.2,0.3,0.5,22002,1,25.0,180.0,74.0,2016,1,22.839506172839503,0,323127513.0,57588.538070583025,Athletics Men's 4 x 400 metres Relay,Kyle Clemons,United States,Athletics
0.7,0.2,0.1,85554,1,21.0,191.0,82.0,2016,0,22.47745401715962,0,19153000.0,21669.410913093976,Athletics Men's 4 x 400 metres Relay,Stephen Newbold,Bahamas,Athletics
0.0,0.2,0.8,30661,1,23.0,195.0,79.0,2016,2,20.77580539119001,0,2881355.0,4883.860270104311,Athletics Men's 400 metres,Fitzroy Junior Dunkley,Jamaica,Athletics
0.1,0.9,0.0,101292,1,27.0,188.0,82.0,2016,1,23.20054323223178,0,323127513.0,57588.538070583025,Athletics Men's 400 metres,Gil Roberts,United States,Athletics
0.825,0.0,0.175,103597,1,24.0,174.0,68.0,2016,0,22.46003435064077,0,33245773.0,46596.33599126086,Athletics Men's 400 metres,Alonzo Russell,Bahamas,Athletics
0.2,0.2,0.6,122609,1,24.0,175.0,72.0,2016,2,23.51020408163265,0,48461567.0,1462.503743286637,Athletics Men's 400 metres Hurdles,Boniface Mucheru Tumuti,Kenya,Athletics
0.2,0.2,0.6,122609,1,24.0,175.0,72.0,2016,2,23.51020408163265,0,48461567.0,1462.503743286637,Athletics Men's 400 metres Hurdles,Boniface Mucheru Tumuti,Kenya,Athletics
0.9,0.1,0.0,22978,1,29.0,191.0,85.0,2016,0,23.299799895836188,0,79512426.0,10862.726425533887,Athletics Men's 400 metres Hurdles,Yasmani Copello Escobar,Turkey,Athletics
0.1,0.18333333333333332,0.7166666666666667,20133,1,25.0,175.0,57.0,2016,2,18.612244897959183,0,323127513.0,57588.538070583025,"Athletics Men's 5,000 metres",Paul Kipkemboi Chelimo,United States,Athletics
0.1,0.18333333333333332,0.7166666666666667,20133,1,25.0,175.0,57.0,2016,2,18.612244897959183,0,323127513.0,57588.538070583025,"Athletics Men's 5,000 metres",Paul Kipkemboi Chelimo,United States,Athletics
0.8,0.1,0.1,39290,1,22.0,171.0,56.0,2016,0,19.15119181970521,0,102403196.0,712.8779499611379,"Athletics Men's 5,000 metres",Hagos Gebrhiwet Berhe,Ethiopia,Athletics
0.9,0.0,0.1,4782,1,28.0,180.0,62.0,2016,0,19.1358024691358,0,126994511.0,38972.340639146816,Athletics Men's 50 kilometres Walk,Hirooki Arai,Japan,Athletics
0.9,0.0,0.1,4782,1,28.0,180.0,62.0,2016,0,19.1358024691358,0,126994511.0,38972.340639146816,Athletics Men's 50 kilometres Walk,Hirooki Arai,Japan,Athletics
0.9,0.0,0.1,4782,1,28.0,180.0,62.0,2016,0,19.1358024691358,0,126994511.0,38972.340639146816,Athletics Men's 50 kilometres Walk,Hirooki Arai,Japan,Athletics
0.6,0.2,0.2,83514,1,21.0,180.0,68.0,2016,0,20.98765432098765,0,323127513.0,57588.538070583025,Athletics Men's 800 metres,Clayton Murphy,United States,Athletics
0.6,0.2,0.2,83514,1,21.0,180.0,68.0,2016,0,20.98765432098765,0,323127513.0,57588.538070583025,Athletics Men's 800 metres,Clayton Murphy,United States,Athletics
0.6,0.2,0.2,83514,1,21.0,180.0,68.0,2016,0,20.98765432098765,0,323127513.0,57588.538070583025,Athletics Men's 800 metres,Clayton Murphy,United States,Athletics
0.0,0.0,1.0,76987,1,24.0,186.0,77.0,2016,2,22.25690831309978,0,66896109.0,36870.21913445626,Athletics Men's Decathlon,Kvin Mayer,France,Athletics
0.6,0.3,0.1,128773,1,26.0,185.0,83.0,2016,0,24.25127830533236,0,36286425.0,42348.94546059788,Athletics Men's Decathlon,Damian Warner,Canada,Athletics
0.6,0.3,0.1,128773,1,26.0,185.0,83.0,2016,0,24.25127830533236,0,36286425.0,42348.94546059788,Athletics Men's Decathlon,Damian Warner,Canada,Athletics
0.3,0.7,0.0,46275,1,26.0,207.0,120.0,2016,1,28.00532101099209,0,20619075.0,12654.354998995825,Athletics Men's Discus Throw,Christoph Harting,Germany,Athletics
0.3,0.7,0.0,46275,1,26.0,207.0,120.0,2016,1,28.00532101099209,0,20619075.0,12654.354998995825,Athletics Men's Discus Throw,Christoph Harting,Germany,Athletics
0.8,0.2,0.0,54001,1,26.0,207.0,120.0,2016,0,28.00532101099209,0,32294655.0,12430.629601767552,Athletics Men's Discus Throw,Daniel Jasinski,Germany,Athletics
0.2,0.5,0.3,84850,1,34.0,187.0,120.0,2016,1,34.31610855329005,0,8734951.0,795.9607474654362,Athletics Men's Hammer Throw,Dilshod Nazarov,Tajikistan,Athletics
0.2,0.5,0.3,84850,1,34.0,187.0,120.0,2016,1,34.31610855329005,0,8734951.0,795.9607474654362,Athletics Men's Hammer Throw,Dilshod Nazarov,Tajikistan,Athletics
0.8,0.2,0.0,87235,1,27.0,196.0,128.0,2016,0,33.31945022907122,0,37948016.0,12430.629601767552,Athletics Men's Hammer Throw,Wojciech Nowicki,Poland,Athletics
0.8,0.0,0.2,13131,1,26.0,198.0,77.0,2016,0,19.64085297418631,0,45004645.0,2185.72803066435,Athletics Men's High Jump,Bohdan Viktorovych Bondarenko,Ukraine,Athletics
0.8,0.0,0.2,13131,1,26.0,198.0,77.0,2016,0,19.64085297418631,0,45004645.0,2185.72803066435,Athletics Men's High Jump,Bohdan Viktorovych Bondarenko,Ukraine,Athletics
0.8,0.0,0.2,13131,1,26.0,198.0,77.0,2016,0,19.64085297418631,0,45004645.0,2185.72803066435,Athletics Men's High Jump,Bohdan Viktorovych Bondarenko,Ukraine,Athletics
0.3,0.2,0.5,132776,1,27.0,175.0,94.0,2016,2,30.693877551020407,0,48461567.0,1462.503743286637,Athletics Men's Javelin Throw,Julius Kiplagat Yego,Kenya,Athletics
0.1,0.7,0.2,102024,1,24.0,192.0,92.0,2016,1,24.95659722222222,0,9219637.0,55746.84238111751,Athletics Men's Javelin Throw,Thomas Rhler,Germany,Athletics
0.3,0.2,0.5,132776,1,27.0,175.0,94.0,2016,2,30.693877551020407,0,48461567.0,1462.503743286637,Athletics Men's Javelin Throw,Julius Kiplagat Yego,Kenya,Athletics
0.2333333333333333,0.65,0.11666666666666665,47578,1,27.0,183.0,86.0,2016,1,25.68007405416704,0,323127513.0,57588.538070583025,Athletics Men's Long Jump,"Jeffrey ""Jeff"" Henderson",United States,Athletics
0.2333333333333333,0.65,0.11666666666666665,47578,1,27.0,183.0,86.0,2016,1,25.68007405416704,0,323127513.0,57588.538070583025,Athletics Men's Long Jump,"Jeffrey ""Jeff"" Henderson",United States,Athletics
0.2333333333333333,0.65,0.11666666666666665,47578,1,27.0,183.0,86.0,2016,1,25.68007405416704,0,323127513.0,57588.538070583025,Athletics Men's Long Jump,"Jeffrey ""Jeff"" Henderson",United States,Athletics
0.0,0.0,1.0,69854,1,26.0,175.0,67.0,2016,2,21.877551020408163,0,102403196.0,712.8779499611379,Athletics Men's Marathon,Feyisa Lilesa,Ethiopia,Athletics
0.0,0.0,1.0,69854,1,26.0,175.0,67.0,2016,2,21.877551020408163,0,102403196.0,712.8779499611379,Athletics Men's Marathon,Feyisa Lilesa,Ethiopia,Athletics
0.0,0.0,1.0,69854,1,26.0,175.0,67.0,2016,2,21.877551020408163,0,102403196.0,712.8779499611379,Athletics Men's Marathon,Feyisa Lilesa,Ethiopia,Athletics
0.2,0.8,0.0,14810,1,22.0,183.0,75.0,2016,1,22.39541341933172,1,207652865.0,8639.365743445373,Athletics Men's Pole Vault,Thiago Braz da Silva,Brazil,Athletics
0.2,0.8,0.0,14810,1,22.0,183.0,75.0,2016,1,22.39541341933172,1,207652865.0,8639.365743445373,Athletics Men's Pole Vault,Thiago Braz da Silva,Brazil,Athletics
0.8,0.2,0.0,58688,1,23.0,185.0,80.0,2016,0,23.37472607742878,0,323127513.0,57588.538070583025,Athletics Men's Pole Vault,Sam Kendricks,United States,Athletics
0.1,0.0,0.9,63392,1,27.0,183.0,134.0,2016,2,40.01313864253934,0,323127513.0,57588.538070583025,Athletics Men's Shot Put,"Joseph Mathias ""Joe"" Kovacs",United States,Athletics
0.2,0.5666666666666667,0.2333333333333333,23974,1,23.0,201.0,125.0,2016,1,30.93982822207372,0,323127513.0,57588.538070583025,Athletics Men's Shot Put,Ryan Crouser,United States,Athletics
0.7,0.1,0.2,128283,1,24.0,185.0,120.0,2016,0,35.06208911614317,0,4692700.0,40331.95910482274,Athletics Men's Shot Put,"Tomas ""Tom"" Walsh",New Zealand,Athletics
0.9,0.1,0.0,29366,1,27.0,180.0,74.0,2016,0,22.839506172839503,0,1378665000.0,8117.267465431786,Athletics Men's Triple Jump,Dong Bin,China,Athletics
0.9,0.1,0.0,29366,1,27.0,180.0,74.0,2016,0,22.839506172839503,0,1378665000.0,8117.267465431786,Athletics Men's Triple Jump,Dong Bin,China,Athletics
0.9,0.1,0.0,29366,1,27.0,180.0,74.0,2016,0,22.839506172839503,0,1378665000.0,8117.267465431786,Athletics Men's Triple Jump,Dong Bin,China,Athletics
0.2,0.0,0.8,87792,0,26.0,160.0,50.0,2016,2,19.53125,0,48461567.0,1462.503743286637,"Athletics Women's 1,500 metres",Hellen Onsando Obiri,Kenya,Athletics
0.0,0.9,0.1,59542,0,22.0,157.0,43.0,2016,1,17.444926771877153,0,48461567.0,1462.503743286637,"Athletics Women's 1,500 metres",Faith Chepngetich Kibiegon,Kenya,Athletics
0.3,0.2,0.5,28311,0,25.0,168.0,52.0,2016,2,18.42403628117914,0,102403196.0,712.8779499611379,"Athletics Women's 1,500 metres",Genzebe Dibaba Keneni,Ethiopia,Athletics
0.15,0.05,0.8,130568,0,21.0,165.0,63.0,2016,2,23.1404958677686,0,2881355.0,4883.860270104311,Athletics Women's 100 metres,Christania Williams,Jamaica,Athletics
0.0,0.8,0.2,38761,0,24.0,168.0,55.0,2016,1,19.48696145124717,0,323127513.0,57588.538070583025,Athletics Women's 100 metres,English Gardner,United States,Athletics
0.9,0.0,0.1,85141,0,19.0,172.0,61.0,2016,0,20.61925365062196,0,65637239.0,40412.03361998853,Athletics Women's 100 metres,Daryll Saskia Neita,Great Britain,Athletics
0.3,0.1,0.6,2695,0,27.0,170.0,65.0,2016,2,22.49134948096886,0,323127513.0,57588.538070583025,Athletics Women's 100 metres Hurdles,Nia Sifaatihii Ali,United States,Athletics
0.0,0.9,0.1,102175,0,24.0,165.0,59.0,2016,1,21.6712580348944,0,323127513.0,57588.538070583025,Athletics Women's 100 metres Hurdles,Brianna Rollins,United States,Athletics
0.7,0.2,0.1,18976,0,28.0,170.0,60.0,2016,0,20.761245674740486,0,323127513.0,57588.538070583025,Athletics Women's 100 metres Hurdles,Kristi Castlin,United States,Athletics
0.2333333333333333,0.3,0.4666666666666666,41597,0,27.0,162.0,47.0,2016,2,17.908855357415025,0,127540423.0,8450.494010348126,Athletics Women's 20 kilometres Walk,Mara Guadalupe Gonzlez Romero,Mexico,Athletics
0.1,0.85,0.05,70582,0,29.0,160.0,50.0,2016,1,19.53125,0,1378665000.0,8117.267465431786,Athletics Women's 20 kilometres Walk,Liu Hong,China,Athletics
0.525,0.275,0.2,71922,0,22.0,160.0,45.0,2016,0,17.578124999999996,0,1378665000.0,8117.267465431786,Athletics Women's 20 kilometres Walk,Lu Xiuzhi,China,Athletics
0.1,0.0,0.9,33686,0,31.0,162.0,53.0,2016,2,20.195092211553117,0,2881355.0,4883.860270104311,Athletics Women's 200 metres,Simone Facey,Jamaica,Athletics
0.9,0.1,0.0,5542,0,20.0,164.0,55.0,2016,0,20.449137418203453,0,65637239.0,40412.03361998853,Athletics Women's 200 metres,"Geraldina Rachel ""Dina"" Asher-Smith",Great Britain,Athletics
0.9,0.1,0.0,5542,0,20.0,164.0,55.0,2016,0,20.449137418203453,0,65637239.0,40412.03361998853,Athletics Women's 200 metres,"Geraldina Rachel ""Dina"" Asher-Smith",Great Britain,Athletics
0.1,0.5,0.4,60965,0,24.0,162.0,42.0,2016,2,16.00365797896662,0,48461567.0,1462.503743286637,"Athletics Women's 3,000 metres Steeplechase",Hyvin Kiyeng Jepkemoi,Kenya,Athletics
0.1,0.5,0.4,60965,0,24.0,162.0,42.0,2016,2,16.00365797896662,0,48461567.0,1462.503743286637,"Athletics Women's 3,000 metres Steeplechase",Hyvin Kiyeng Jepkemoi,Kenya,Athletics
0.8,0.0,0.2,8128,0,29.0,166.0,53.0,2016,0,19.233560749020175,0,323127513.0,57588.538070583025,"Athletics Women's 3,000 metres Steeplechase","Jennifer Mae ""Jenny"" Barringer-Simpson",United States,Athletics
0.0,0.4,0.6,36212,0,20.0,160.0,55.0,2016,2,21.484375,0,2881355.0,4883.860270104311,Athletics Women's 4 x 100 metres Relay,Shashalee Forbes,Jamaica,Athletics
0.1,0.9,0.0,1682,0,22.0,163.0,61.0,2016,1,22.95908765854944,0,323127513.0,57588.538070583025,Athletics Women's 4 x 100 metres Relay,Morolake Akinosun,United States,Athletics
0.25,0.45,0.3,106907,0,24.0,179.0,70.0,2016,2,21.84700852033332,0,4286401.0,30523.985055897447,Athletics Women's 4 x 100 metres Relay,Dafne Schippers,Netherlands,Athletics
0.1,0.1,0.8,41795,0,21.0,168.0,65.0,2016,2,23.030045351473927,0,2881355.0,4883.860270104311,Athletics Women's 4 x 400 metres Relay,Chrisann Gordon,Jamaica,Athletics
0.0,0.9,0.1,88474,0,22.0,173.0,59.0,2016,1,19.71332152761536,0,323127513.0,57588.538070583025,Athletics Women's 4 x 400 metres Relay,Courtney Okolo,United States,Athletics
0.8,0.0,0.2,76226,0,31.0,178.0,57.0,2016,0,17.99015275849009,0,65637239.0,40412.03361998853,Athletics Women's 4 x 400 metres Relay,Kelly Massey,Great Britain,Athletics
0.4083333333333333,0.0,0.5916666666666666,53145,0,22.0,173.0,61.0,2016,0,20.381569714992143,0,2881355.0,4883.860270104311,Athletics Women's 400 metres,Shericka Jackson,Jamaica,Athletics
0.0,1.0,0.0,36677,0,24.0,180.0,72.0,2016,1,22.22222222222222,0,323127513.0,57588.538070583025,Athletics Women's 400 metres,Phyllis Chanez Francis,United States,Athletics
0.8,0.0,0.2,28171,0,25.0,173.0,58.0,2016,0,19.37919743392696,0,65637239.0,40412.03361998853,Athletics Women's 400 metres,Emily Jane Diamond,Great Britain,Athletics
0.2,0.5,0.3,111995,0,29.0,171.0,57.0,2016,2,19.493177387914237,0,146596557.0,1771.58660190996,Athletics Women's 400 metres Hurdles,Sara Slott-Bruun Petersen,Denmark,Athletics
0.0,0.76,0.24,113763,0,23.0,178.0,59.0,2016,0,18.621386188612547,0,323127513.0,57588.538070583025,Athletics Women's 400 metres Hurdles,Ashley Spencer,United States,Athletics
0.7,0.2,0.1,20742,0,29.0,170.0,60.0,2016,0,20.761245674740486,0,65637239.0,40412.03361998853,Athletics Women's 400 metres Hurdles,Eilidh Child-Doyle,Great Britain,Athletics
0.8,0.2,0.0,6204,0,24.0,166.0,47.0,2016,0,17.056176513282043,0,102403196.0,712.8779499611379,"Athletics Women's 5,000 metres",Almaz Ayana Eba,Ethiopia,Athletics
0.8,0.2,0.0,6204,0,24.0,166.0,47.0,2016,0,17.056176513282043,0,102403196.0,712.8779499611379,"Athletics Women's 5,000 metres",Almaz Ayana Eba,Ethiopia,Athletics
0.8,0.2,0.0,6204,0,24.0,166.0,47.0,2016,0,17.056176513282043,0,102403196.0,712.8779499611379,"Athletics Women's 5,000 metres",Almaz Ayana Eba,Ethiopia,Athletics
0.1,0.1,0.8,86595,0,23.0,166.0,60.0,2016,2,21.773842357381334,0,10524117.0,281.18133762577827,Athletics Women's 800 metres,Francine Niyonsaba,Burundi,Athletics
0.1,0.1,0.8,86595,0,23.0,166.0,60.0,2016,2,21.773842357381334,0,10524117.0,281.18133762577827,Athletics Women's 800 metres,Francine Niyonsaba,Burundi,Athletics
0.1,0.1,0.8,86595,0,23.0,166.0,60.0,2016,2,21.773842357381334,0,10524117.0,281.18133762577827,Athletics Women's 800 metres,Francine Niyonsaba,Burundi,Athletics
0.2,0.3,0.5,101273,0,37.0,180.0,85.0,2016,2,26.234567901234566,0,66896109.0,36870.21913445626,Athletics Women's Discus Throw,Mlina Robert-Michon,France,Athletics
0.2,0.3,0.5,101273,0,37.0,180.0,85.0,2016,2,26.234567901234566,0,66896109.0,36870.21913445626,Athletics Women's Discus Throw,Mlina Robert-Michon,France,Athletics
0.9,0.1,0.0,17125,0,26.0,175.0,70.0,2016,0,22.857142857142858,0,11475982.0,7961.845879507305,Athletics Women's Discus Throw,Denia Caballero Ponce,Cuba,Athletics
0.8,0.0,0.2,48858,0,25.0,170.0,75.0,2016,0,25.95155709342561,0,65637239.0,40412.03361998853,Athletics Women's Hammer Throw,Sophie Hitchon,Great Britain,Athletics
0.8,0.0,0.2,48858,0,25.0,170.0,75.0,2016,0,25.95155709342561,0,65637239.0,40412.03361998853,Athletics Women's Hammer Throw,Sophie Hitchon,Great Britain,Athletics
0.8,0.0,0.2,48858,0,25.0,170.0,75.0,2016,0,25.95155709342561,0,65637239.0,40412.03361998853,Athletics Women's Hammer Throw,Sophie Hitchon,Great Britain,Athletics
0.675,0.3,0.025,119559,0,27.0,175.0,64.0,2016,0,20.897959183673468,0,36286425.0,42348.94546059788,Athletics Women's Heptathlon,Brianne Theisen-Eaton,Canada,Athletics
0.1,0.9,0.0,119631,0,21.0,184.0,69.0,2016,1,20.380434782608692,0,11348159.0,41260.977551146825,Athletics Women's Heptathlon,"Nafissatou ""Nafi"" Thiam",Belgium,Athletics
0.675,0.3,0.025,119559,0,27.0,175.0,64.0,2016,0,20.897959183673468,0,36286425.0,42348.94546059788,Athletics Women's Heptathlon,Brianne Theisen-Eaton,Canada,Athletics
0.2,0.0,0.8,27488,0,26.0,180.0,58.0,2016,2,17.901234567901234,0,79512426.0,10862.726425533887,Athletics Women's High Jump,Mirela Krasimirova Demireva,Bulgaria,Athletics
0.1,0.9,0.0,9464,0,37.0,191.0,72.0,2016,1,19.736301088237717,0,46443959.0,26616.75779655097,Athletics Women's High Jump,Ruth Beita Vila,Spain,Athletics
0.2,0.0,0.8,27488,0,26.0,180.0,58.0,2016,2,17.901234567901234,0,79512426.0,10862.726425533887,Athletics Women's High Jump,Mirela Krasimirova Demireva,Bulgaria,Athletics
0.5,0.1,0.4,62116,0,21.0,170.0,74.0,2016,1,25.60553633217993,0,7840709.0,24880.164070124996,Athletics Women's Javelin Throw,Sara Kolak,Croatia,Athletics
0.3,0.5,0.2,126574,0,32.0,170.0,72.0,2016,2,24.913494809688583,0,4639657.0,3180.00587263802,Athletics Women's Javelin Throw,Sunette Stella Viljoen,South Africa,Athletics
0.5,0.1,0.4,62116,0,21.0,170.0,74.0,2016,1,25.60553633217993,0,7840709.0,24880.164070124996,Athletics Women's Javelin Throw,Sara Kolak,Croatia,Athletics
0.6,0.0,0.4,113674,0,26.0,176.0,65.0,2016,0,20.983987603305785,0,7057412.0,5426.198278872465,Athletics Women's Long Jump,Ivana panovi,Serbia,Athletics
0.6,0.0,0.4,113674,0,26.0,176.0,65.0,2016,0,20.983987603305785,0,7057412.0,5426.198278872465,Athletics Women's Long Jump,Ivana panovi,Serbia,Athletics
0.6,0.0,0.4,113674,0,26.0,176.0,65.0,2016,0,20.983987603305785,0,7057412.0,5426.198278872465,Athletics Women's Long Jump,Ivana panovi,Serbia,Athletics
0.1,0.5,0.4,60784,0,32.0,155.0,49.0,2016,2,20.39542143600416,0,423196.0,26939.41802185822,Athletics Women's Marathon,Eunice Jepkirui Kirwa,Bahrain,Athletics
0.0,0.85,0.15,116424,0,31.0,160.0,45.0,2016,1,17.578124999999996,0,48461567.0,1462.503743286637,Athletics Women's Marathon,Jemima Jelagat Sumgong,Kenya,Athletics
0.5,0.2,0.3,28312,0,26.0,156.0,45.0,2016,0,18.49112426035503,0,102403196.0,712.8779499611379,Athletics Women's Marathon,Mare Dibaba Hurssa (-Ibrahimova-),Ethiopia,Athletics
0.05,0.15,0.8,82271,0,24.0,173.0,62.0,2016,2,20.715693808680545,0,323127513.0,57588.538070583025,Athletics Women's Pole Vault,Sandi Morris,United States,Athletics
0.1,0.9,0.0,114658,0,26.0,173.0,59.0,2016,1,19.71332152761536,0,57685327.0,31174.561087858037,Athletics Women's Pole Vault,"Aikaterini ""Ekaterini"" Stefanidi",Greece,Athletics
0.6,0.1,0.3,77314,0,19.0,179.0,66.0,2016,0,20.598608033457133,0,4692700.0,40331.95910482274,Athletics Women's Pole Vault,Eliza McCartney,New Zealand,Athletics
0.7,0.0,0.3,75934,0,27.0,172.0,95.0,2016,0,32.11195240670633,0,9817958.0,12820.088196305347,Athletics Women's Shot Put,Anita Mrton,Hungary,Athletics
0.2,0.8,0.0,18653,0,30.0,176.0,136.0,2016,1,43.904958677685954,0,323127513.0,57588.538070583025,Athletics Women's Shot Put,Michelle Denee Carter,United States,Athletics
0.7,0.0,0.3,75934,0,27.0,172.0,95.0,2016,0,32.11195240670633,0,9817958.0,12820.088196305347,Athletics Women's Shot Put,Anita Mrton,Hungary,Athletics
